Exercise_ID,Exercise_Name,Affected_Muscle,Gender,Goal,Exercise_area,Description,Link,Level,Sets,Reps,Rep_time,Rest_time,exercise_type
11,single-arm dumbbell triceps extension,tricep,male; female,Muscle gain,Gym; Home,"The practitioner is in a standing position, legs spread out to the sides with a shoulder-width distance. Holding a single dumbbell, stretch your arms to hold the dumbbell in an elevated position. Slowly bend your elbows to lower the weight below and behind your head, trying to bring your forearms as close to your biceps as possible. Note, during this process only the forearm moves. You can place your other hand comfortably along the side or you can lean against the side. Slowly bring the dumbbells back to the starting position.
",https://www.youtube.com/watch?v=kZ-ReOdn2qk,Easy,4,12,3,60,Main
12,rope press-down,tricep,male; female,Muscle gain,Gym,"Facing the adjustable cable machine, grasp the rope from a high position by holding your thumbs up. Bring your elbows out to the sides so your forearms are parallel to the floor. Straighten your forearms down while twisting the rope inward so that your knuckles point toward the floor when your arms are fully extended. Pause, then return to starting position.",https://www.youtube.com/watch?v=-xa-6cQaZKY,Easy,4,12,3,60,Main
13,single-arm cable pushdown,tricep,male; female,Muscle gain,Gym,Stretch your arms down. Return until the forearm is close to the upper arm. Repeat. Continue with the opposite arm.,https://www.youtube.com/watch?v=Cp_bShvMY4c,Easy,4,12,3,60,Main
14,standing barbell curl,bicep,male,Muscle gain,Gym,"Stand straight, feet shoulder-width apart, hold the barbell in both hands, palms facing forward, place the barbell in front of your thighs and slightly bend your knees. Exhale and cross your arms across your  chest, being careful to only move your arms. Inhale and slowly relax back to the starting position..",https://www.youtube.com/watch?v=JnLFSFurrqQ,Easy,3,12,3,60,Main
15,chin-up,bicep; upper back,male,Muscle gain,Gym,"Grasp the bar and pull it up, slowly feeling your breath",https://www.youtube.com/watch?v=8mryJ3w2S78,Difficulty,2,8,3,60,Main
16,reverse grip bent-over rows,bicep; middle back,male,Muscle gain,Gym,"Stand straight with dumbbells in both hands, feet shoulder-width apart, then slowly push your hips back and bend forward until your body is almost parallel to the floor. Do not bend down, keep the dumbbells perpendicular to the floor. Exhale, slowly pull the weight closer to your body, to the highest position, hold for 1 second. Inhale and slowly lower the weights to the starting position.",https://www.youtube.com/watch?v=cZvQNvTUUu0,Medium,3,12,3,60,Main
17,cable hammer curls,bicep,male,Muscle gain,Gym,"Stand straight and hold the ends of the rope with both hands, palms facing each other. Straighten your arms and bring them close to your body. Use your biceps to pull your arms up until your biceps touch your arms, hold a shoe in this position and remember to exhale. Inhale and slowly extend your arms back to the starting position.",https://www.youtube.com/watch?v=vsarApmqJmo,Easy,3,12,3,60,Main
18,incline dumbbell curl,bicep,male,Muscle gain,Gym,"2 Hold a dumbbell in your hands, arms close to your body, palms facing each other. Exhale and roll up one or both arms at the same time, rotating your hands so the back of your hands faces forward. When the dumbbell is at shoulder level, stop at one rope. Inhale and slowly return to the starting position.",https://www.youtube.com/watch?v=aTYlqC_JacQ,Medium,3,12,3,60,Main
19,concentration curls,bicep,male; female,Muscle gain,Gym; Home,"Sit on a flat bench, right hand holding dumbbell between legs, elbow close to right thigh, legs wider than shoulder width, left hand placed on left thigh, slightly tilted. to the right and your palm facing left. Move the right arm up horizontally and look at the right bicep. Curl the dumbbells up to shoulder height, then pause for 1 second. expiratory. Inhale and return to the starting position. Repeat a certain number of times, then switch sides.",https://www.youtube.com/watch?v=VMbDQ8PZazY,Easy,3,12,3,60,Main
20,preacher curl,bicep,male,Muscle gain,Gym,"Sit on a bench with dumbbells in both hands and elbows on the reclined part of the chair. Palms facing forward. Inhale and slowly lower your arms until you fully extend and tense your biceps. Hold your hand for 1 second. Exhale and curl your arms to the starting position, hold for 1 second and repeat.",https://www.youtube.com/watch?v=Zbs3ko8ycyg,Medium,3,12,3,60,Main
21,barbell drag curl,bicep,male,Muscle gain,Gym,"Hold the barbell in your hands, stand straight, feet shoulder-width apart. Elbows close to the body. Exhale and pull the bar straight up. Inhale and lower the bar to the starting position. You can completely replace it with dumbbells.",https://www.youtube.com/watch?v=ZHa0OAcn7Bc,Easy,3,12,3,60,Main
22,high cable curls,bicep,male,Muscle gain,Gym,"Lie on a flat bench, holding the tractor with both hands, arms outstretched, palms facing you. Exhale and rotate your arms until they are close to your face, then pause for 1 second. Note that only the arms are moved. Inhale and slowly return to the starting position.",https://www.youtube.com/watch?v=0Gef7oq3cv4,Difficulty,3,12,3,60,Main
23,w - easy bar curls,bicep,male,Muscle gain,Gym,"Stand up straight while holding an EZ curl bar at the wide outer handle. The palms of your hands should be facing forward and slightly tilted inward due to the shape of the bar. Keep your elbows close to your torso. This will be your starting position. Now, while keeping your upper arms stationary, exhale and curl the weights forward while contracting the biceps. Focus on only moving your forearms. Continue to raise the weight until your biceps are fully contracted and the bar is at shoulder level. Hold the top contracted position for a moment and squeeze the biceps. Then inhale and slowly lower the bar back to the starting position. Repeat for the recommended amount of repetitions.",https://www.youtube.com/watch?v=-gSM-kqNlUw,Medium,3,12,3,60,Main
24,ez bar spider curl,bicep,male,Muscle gain,Gym,Start out by setting the bar on the part of the preacher bench that you would normally sit on. Make sure to align the barbell properly so that it is balanced and will not fall off. Move to the front side of the preacher bench (the part where the arms usually lay) and position yourself to lay at a 45 degree slant with your torso and stomach pressed against the front side of the preacher bench. Make sure that your feet (especially the toes) are well positioned on the floor and place your upper arms on top of the pad located on the inside part of the preacher bench. Use your arms to grab the barbell with a supinated grip (palms facing up) at about shoulder width apart or slightly closer from each other. Slowly begin to lift the barbell upwards and exhale. Hold the contracted position for a second as you squeeze the biceps. Slowly begin to bring the barbell back to the starting position as your breathe in. Repeat for the recommended amount of repetitions.,https://www.youtube.com/watch?v=WG3vdcq__I0,Medium,3,12,3,60,Main
25,dumbbell biceps curl,bicep,male; female,Muscle gain,Gym; Home,"Start in a standing position with your legs shoulder-width apart. Hold a dumbbell in each hand and turn your palms toward your body. Slowly exhale while lifting the dumbbells to shoulder height. Be careful not to change your body position, just move your arms. Inhale and lower the weight slowly to return to the starting position.",https://www.youtube.com/watch?v=HnHuhf4hEWY,Easy,3,12,3,60,Main
26,dumbbell hammer curls,forearm; bicep,male,Muscle gain,Gym,"You need to prepare for yourself 2 dumbbells with the most suitable weight for you. Start in a standing position with your feet shoulder-width apart and each hand holding a Dumbbell of equal weight. Place your arms along your body, palms facing inward, and this is the starting position of the Hammer Curl exercise. Keep your elbows tight, upper biceps fixed and stand straight on the floor. Move your hands and forearms, slowly roll the dumbbells forward and exhale. Continue to raise the dumbbells to shoulder height, so that your biceps are as tight as possible. Note, you can practice both hands at the same time or practice one hand at a time. Hold the weight in the top position for a few seconds, then slowly lower the weight to the starting position and inhale at the same time.
",https://www.youtube.com/watch?v=RIEMoYL_h1Y,Easy,3,12,3,60,Main
27,kettlebell bicep curl,forearm; bicep,male; female,Muscle gain,Gym,"The practitioner is in a standing position, with legs shoulder-width apart. Hold a dumbbell in both hands with palms facing each other, letting the dumbbells face down toward the floor. Bend both elbows to lift the weight toward your  chest, keeping your elbows close to your body. Lower the weights in a controlled manner, straightening your elbows. Perform the movement 10 - 12 times.",https://www.youtube.com/watch?v=OfgQrQCLJsk,Easy,3,12,3,60,Main
28,squat,leg; glute,male; female,Muscle gain; Endurance,Gym; Home,"Performed by lowering the body as if sitting. Strengthens quads, glutes, and hamstrings. Keep  chest up and knees aligned with toes.",https://youtube.com/shorts/SLOkdLLWj8A?si=2Fu4EMNn2_szqEZ_,Easy,4,10,3,60,Main
29,bulgarian split squat,leg; glute,male; female,Muscle gain,Gym,"Elevates one leg on a bench and performs a squat. Focuses on quads and glutes, improving single-leg stability.",https://youtube.com/shorts/uODWo4YqbT8?si=N4k1nfr31OGmOKCG,Medium,3,10,3,60,Main
30,romanian deadlift,leg; glute,male; female,Muscle gain ,Gym,Involves a hip-hinge movement. Focuses on hamstrings and glutes. Keep your back flat and knees slightly bent.,https://youtube.com/shorts/d-hn_0sEpRQ?si=KEfOJfUoj5PkbH3J,Difficulty,3,10,3,60,Main
31,step-up,leg; glute,male; female,Endurance; Lose weight,Gym; Home,"Step onto an elevated platform with one leg, engaging quads and glutes. Maintain balance and control on each step.",https://youtu.be/wfhXnLILqdk?si=bINJRuNs_vt2lFG5,Easy,4,10,3,60,Main
32,leg press,leg,male; female,Muscle gain,Gym,Pushes weight with the legs on a machine. Focuses on quads and glutes while minimizing spinal load.,https://youtube.com/shorts/W4vekQUkxsg?si=VOv_GYI4gzagjsf8,Medium,3,10,3,60,Main
33,hip thrust,glute; leg,male; female,Muscle gain,Gym,"Performed with shoulders on a bench, pushing hips up with a barbell on the pelvis. Strengthens glutes.",https://youtu.be/5S8SApGU_Lk?si=0Kyzwjpi0foSsMb-,Medium,3,10,3,60,Main
34,calf raise,leg,male; female,Muscle gain; Endurance,Gym,Rise onto your toes to target calves. Can be performed on a raised surface for a greater stretch.,https://youtu.be/eMTy3qylqnE?si=AvA2hl94Wlu187uJ,Medium,2,10,3,60,Main
35,donkey kicks,glute; leg,male; female,Muscle gain; Endurance,Home,Kick one leg back while on all fours. Focuses on glute activation and improves hip mobility.,https://youtu.be/EtSJ8rwm5M8?si=cc8HTH-LOThi75i5,Easy,4,10,3,60,Main
36,jump squats,leg,male; female,Lose weight; Endurance,Home,Perform a squat followed by an explosive jump. Builds power in quads and calves while burning calories.,https://youtu.be/BRfxI2Es2lE?si=Pjb3R9w4VOR7NXHo,Easy,4,10,3,60,Main
37,sumo deadlift,leg; glute,male; female,Muscle gain; Endurance,Gym,"A deadlift with a wide stance, focusing on inner thighs, hamstrings, and glutes.",https://youtube.com/shorts/Fcwh9JwSIro?si=hmIkxWxgIzenpJvg,Difficulty,3,10,3,60,Main
38,pistol squat,leg,male; female,Muscle gain; Endurance,Home,Squat with one leg while keeping the other extended. Builds strength and balance in quads.,https://youtube.com/shorts/5R3wjhmjhgU?si=P1hMcgT0APIopC19,Difficulty,2,10,3,60,Main
39,side lunges,leg; glute,female,Endurance; Muscle gain,Home,Step sideways into a lunge position. Works inner thighs and glutes while improving hip flexibility.,https://youtu.be/1D_tsUSW3ZY?si=IURpAHMUjlUA3JZc,Easy,4,10,3,60,Main
40,curtsy lunges,leg; glute,female,Muscle gain,Home,Cross one leg behind the other in a lunge. Engages glutes and inner thighs.,https://youtu.be/DEE806Xr4V4?si=JN3bon-PyTXk7363,Easy,4,10,3,60,Main
41,box jump,leg,male; female,Endurance; Lose weight,Gym; Home,"Jump explosively onto a box. Works calves, quads, and glutes while enhancing power.",https://youtu.be/52r_Ul5k03g?si=3118SnSXOjD5AK7y,Easy,4,10,3,60,Main
42,reverse lunges,leg; glute, female,Endurance; Muscle gain,Gym,"Step backward into a lunge. Strengthens quads, hamstrings, and glutes.",https://youtu.be/xrPteyQLGAo?si=bqlNRswj98d4PRfL,Easy,4,10,3,60,Main
43,hamstring curl,leg,male; female,Muscle gain,Gym,Use a machine to curl legs. Targets hamstrings. Keep movement controlled for maximum effect.,https://youtu.be/Ych3qH1FZzY?si=PHO9hVWJlDDsYSzY,Medium,3,10,3,60,Main
44,hack squat,leg,male; female,Muscle gain,Gym,Perform squats on a machine to focus on quads without stressing the lower back.,https://youtu.be/rYgNArpwE7E?si=5_UoZmdzLBWV-3Pc,Difficulty,3,10,3,60,Main
45,single-leg deadlift,leg; glute,male; female,Muscle gain,Gym; Home,"Lift weight while balancing on one leg. Targets hamstrings, glutes, and improves balance.",https://youtu.be/FAFYkQCQJYo?si=CpCNpe1cl4As3pA9,Difficulty,3,10,3,60,Main
46,cable kickbacks,glute; leg,male; female,Muscle gain,Gym,Attach a cable to your ankle and kick backward. Focuses on glutes.,https://youtu.be/SqO-VUEak2M?si=P8VRky6b-rKXlJfm,Medium,3,10,3,60,Main
47,banded side steps,glute; leg,female,Endurance,Home,Step sideways with resistance bands around your legs. Activates glutes and improves hip stability.,https://youtu.be/X0jsl2ZrXug?si=Pjp871EkLwFvJRWW,Easy,4,10,3,60,Main
48,front squat,leg; glute,male; female,Muscle gain,Gym,Hold the barbell in front of your shoulders while squatting. Focuses on quads and core stability.,https://youtu.be/m4ytaCJZpl0?si=mEYkpgnOlqz6ORW2,Difficulty,3,10,3,60,Main
49,barbell back squat,leg; glute,male; female,Muscle gain,Gym,"A compound movement where the barbell is placed on your upper back. Primarily targets glutes, quads, and hamstrings.",https://youtu.be/rrJIyZGlK8c?si=8m8gWDNNcaLX2zIQ,Difficulty,3,12,3,60,Main
50,kettlebell swing,glute; leg,male; female,Endurance; Muscle gain,Gym,"Swing a kettlebell between your legs and up to shoulder height. Activates glutes, hamstrings, and core.",https://youtu.be/1cVT3ee9mgU?si=gvcKaHqBKKhSEdw_,Medium,3,12,3,60,Main
51,goblet squat,leg; glute,female,Endurance; Muscle gain,Gym,"Hold a dumbbell or kettlebell at  chest level while squatting. Focuses on quads, glutes, and core control.",https://youtu.be/UFStLR88gOk?si=w826T9naZ-CKL2qD,Easy,3,12,3,60,Main
52,resistance band squat,leg; glute,female,Endurance,Home,Perform squats with a resistance band around your thighs. Activates glutes and increases resistance.,https://youtube.com/shorts/fASjnHJmgdo?si=NG9Ndhjbnt0smmPb,Easy,3,12,3,60,Main
53,stair climbing,leg; glute,male; female,Lose weight; Endurance,Home,Run or walk up stairs repeatedly to improve cardiovascular fitness and build leg strength.,https://youtube.com/shorts/QmZs9WU8odk?si=2Gmk23uO3TsGcviw,Easy,2,12,3,60,Main
54,machine leg extension,leg,male; female,Muscle gain,Gym,Straighten your legs against resistance on a machine. Focuses solely on quads.,https://youtu.be/4ZDm5EbiFI8?si=UVfDiUwl9euieUHi,Easy,3,12,3,60,Main
55,lateral step-up,glute; leg,male; female,Endurance; Muscle gain,Gym,Step onto a bench from the side. Activates glutes and improves balance.,https://youtu.be/eUX5EQXQuHw?si=sFbFbjYORIi5WBZV,Easy,3,12,3,60,Main
56,machine hip abduction,glute,female,Muscle gain,Gym,Push legs apart against resistance on a machine. Focuses on the outer glutes.,https://youtu.be/dL92FqMJqVY?si=RmD371MegcItD_dW,Easy,3,12,3,60,Main
57,jumping jack,leg; ABS; forearm; shoulder,male; female,Lose weight; Endurance,Home; Gym,"Jumping while spreading arms and legs. It targets the legs, abs, forearms, and shoulders.",https://www.youtube.com/shorts/yg3KQQn3QWg,Easy,4,12,3,60,Main
58,push-up,leg; ABS; tricep; shoulder,male; female,Lose weight; Endurance,Home; Gym,"Lowering and pushing up the body using the arms. It strengthens the legs, abs, triceps, and shoulders.",https://www.youtube.com/watch?v=0pkjOk0EiAk,Medium,4,12,3,60,Main
59,x jump,leg; ABS; forearm; shoulder,male; female,Lose weight; Endurance,Home; Gym,"Jumping while extending the arms and legs in an ""X"" shape. It focuses on the legs, abs, forearms, and shoulders.",https://www.youtube.com/watch?v=3PYo_rqP0c4,Easy,4,12,3,60,Main
60,butt kicks,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,"Running in place, bringing heels to glutes. It targets the legs and abs.",https://www.youtube.com/watch?v=-dtvAxibgYQ,Easy,4,12,3,60,Main
61,mountain climbers,leg; ABS; forearm; shoulder,male; female,Lose weight; Endurance,Home; Gym,"Alternating knee drives to the  chest while in a plank. It works the legs, abs, forearms, and shoulders.",https://www.youtube.com/watch?v=kLh-uczlPLg,Medium,4,12,3,60,Main
62,burpees,leg; ABS; tricep; shoulder,male; female,Lose weight; Endurance,Home; Gym,"Full-body movement involving squatting, jumping, and push-ups. It targets the legs, abs, triceps, and shoulders.",https://www.youtube.com/watch?v=auBLPXO8Fww,Medium,4,12,3,60,Main
63,inchworm walks,leg; ABS; forearm; shoulder,male; female,Lose weight; Endurance,Home; Gym,"Bending at the waist and walking hands into a plank. It focuses on the legs, abs, forearms, and shoulders.",https://www.youtube.com/watch?v=4yJ8jwFaxlo,Medium,3,10,5,60,Main
64,plank,leg; ABS; forearm; shoulder,male; female,Lose weight; Endurance,Home; Gym,"Holding the body straight in a plank position. It targets the legs, abs, forearms, and shoulders.",https://www.youtube.com/watch?v=pvIjsG5Svck,Medium,1,1,30,0,Main
65,high knees,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Running in place with knees lifted high. It works the legs and abs.,https://www.youtube.com/watch?v=ZNDHivUg7vA,Medium,3,20,1,60,Main
66,lunge,leg,male; female,Lose weight; Endurance,Home; Gym,Stepping forward into a deep lunge. It targets the legs.,https://www.youtube.com/watch?v=tTej-ax9XiA,Medium,3,10,3,60,Main
67,sumo squat,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Wide-stance squat with toes pointed outward. It focuses on the legs and abs.,https://www.youtube.com/watch?v=9ZuXKqRbT9k,Easy,3,12,3,60,Main
68,knee-to-elbows,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Bringing knees to opposite elbows in a plank position. It targets the legs and abs.,https://www.youtube.com/watch?v=ZL9Y-IIedb0,Easy,3,12,3,60,Main
69,flutter kicks,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Kicking legs up and down while lying on your back. It works the legs and abs.,https://www.youtube.com/watch?v=K5wuM_gNWyw,Medium,3,12,3,60,Main
70,leg in & outs,ABS,male; female,Lose weight; Endurance,Home; Gym,"Seated, bringing legs in and out. It targets the abs.",https://www.youtube.com/watch?v=V1wZc9RwPW8,Difficulty,3,12,3,60,Main
71,crunch kicks,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,A combination of crunches and flutter kicks. It works the legs and abs.,https://www.youtube.com/watch?v=z0zwPZrPpXc,Difficulty,2,5,5,60,Main
72,resistance band,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,"Various movements using a resistance band. It targets the legs, abs, and back.",https://www.youtube.com/watch?v=whSXi-EXbqI,Easy,3,10,3,60,Main
73,frog jumps,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Jumping forward from a squat position. It focuses on the legs and abs.,https://www.youtube.com/watch?v=SPxvbluj6vQ,Easy,3,12,5,60,Main
74,lateral shuffles,leg,male; female,Lose weight; Endurance,Home; Gym,Side-to-side shuffling. It works the legs.,https://www.youtube.com/watch?v=Z0HtdkwhHnI,Easy,3,10,3,60,Main
75,skater,leg; glute,male; female,Lose weight; Endurance,Home; Gym,Jumping laterally from one foot to the other. It targets the legs and glutes.,https://www.youtube.com/watch?v=0-Kw0wbtmSM,Easy,3,10,3,60,Main
76,tuck jumps,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Jumping with knees tucked into the  chest. It targets the legs and abs.,https://www.youtube.com/watch?v=mgBCOVR1hqw,Easy,3,12,3,60,Main
77,v-ups,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,"Lifting the upper body and legs simultaneously into a ""V"" shape. It works the legs and abs.",https://www.youtube.com/watch?v=7UVgs18Y1P4,Medium,3,10,3,60,Main
78,split jumps,leg,male; female,Lose weight; Endurance,Home; Gym,Jumping into a lunge position and switching legs. It targets the legs.,https://www.youtube.com/watch?v=72xY37N_Sww,Easy,3,12,3,60,Main
79,wall sit jumps,leg,male; female,Lose weight; Endurance,Home; Gym,"Holding a squat against a wall, then jumping. It targets the legs.",https://www.youtube.com/watch?v=cWTZ8Am1Ee0,Easy,1,1,30,0,Main
80,plank jacks,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Jumping legs apart and together while holding a plank. It works the legs,https://www.youtube.com/watch?v=xcBz0TtHqWI,Medium,1,1,30,0,Main
81,side plank,ABS; forearm,male; female,Lose weight; Endurance,Home; Gym,Holding a plank on one side. It works the abs and forearms.,https://www.youtube.com/watch?v=0Rl5ZQwmS-o,Medium,3,10,3,60,Main
82,glute bridges,glute; lower back,male; female,Lose weight; Endurance,Home; Gym,Lifting the hips while lying on your back. It targets the glutes and back.,https://www.youtube.com/watch?v=WtilA9IJX1c,Easy,3,12,3,60,Main
83,russian twists,ABS,male; female,Lose weight; Endurance,Home; Gym,Sitting down and twisting the torso side to side. It focuses on the abs.,https://www.youtube.com/watch?v=DJQGX2J4IVw,Medium,3,12,3,60,Main
84,squat pulse,leg; glute,male; female,Lose weight; Endurance,Home; Gym,Squatting and pulsing up and down. It targets the legs and glutes.,https://www.youtube.com/watch?v=7HarjcM6b10,Easy,2,10,10,60,Main
85,sprawls,leg; ABS; forearm; shoulder,male; female,Lose weight; Endurance,Home; Gym,"A fast movement dropping into a plank from standing. It focuses on the legs, abs, forearms, shoulders, and back.",https://www.youtube.com/watch?v=UFFODmd6RTc,Medium,3,10,3,60,Main
86,leg raises,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Lifting legs from the floor while lying on your back. It works the legs and abs.,https://www.youtube.com/watch?v=Wp4BlxcFTkE,Medium,3,10,3,60,Main
87,dead bug,ABS,male; female,Lose weight; Endurance,Home; Gym,Alternating opposite arm and leg lifts. It targets the abs and back.,https://www.youtube.com/watch?v=g_BYB0R-4Ws,Medium,3,10,3,60,Main
88,scissor kicks,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Alternating legs in a fluttering motion. It works the legs and abs.,https://www.youtube.com/watch?v=IBS84c5uA_A,Medium,3,10,3,60,Main
89,overhead squat,leg; ABS; forearm; shoulder,male; female,Lose weight; Endurance,Home; Gym,"Squatting with arms extended overhead. It targets the legs, abs, forearms, shoulders, and back.",https://www.youtube.com/watch?v=pn8mqlG0nkE,Easy,2,8,10,60,Main
90,jump lunges,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Alternating lunges with jumps. It targets the legs and abs.,https://www.youtube.com/watch?v=O-rntsAALBo,Easy,3,10,3,60,Main
91,side-to-side jumps,leg; glute,male; female,Lose weight; Endurance,Home; Gym,Jumping laterally from side to side. It works the legs and glutes.,https://www.youtube.com/watch?v=sf23wNksjtk,Easy,4,12,3,60,Main
92,plank up-downs,ABS; forearm,male; female,Lose weight; Endurance,Home; Gym,Transitioning between forearm and full plank. It targets the abs and forearms.,https://www.youtube.com/watch?v=jF3wvzUUw7s,Medium,1,1,30,0,Main
93,farmer's walk,ABS; forearm,male; female,Lose weight; Endurance,Home; Gym,"Walking while holding heavy weights. It focuses on the abs, forearms, and back.",https://www.youtube.com/watch?v=8OtwXwrJizk,Medium,2,1,30,60,Main
94,toe touches,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Lifting legs and touching toes with hands. It works the legs and abs.,https://www.youtube.com/watch?v=9iEI95-eZWk,Medium,3,10,3,60,Main
95,star plank,ABS; forearm,male; female,Lose weight; Endurance,Home; Gym,Holding a plank with arms and legs spread wide. It targets the abs and forearms.,https://www.youtube.com/watch?v=V8z8A2WwNnA,Medium,1,1,30,0,Main
96,plank tucks,leg; ABS,male; female,Lose weight; Endurance,Home; Gym,Jumping feet toward hands while in a plank. It focuses on the legs and abs.,https://www.youtube.com/watch?v=ydtRvYqG1bA,Easy,3,10,3,60,Main
97,side shuffles,leg,male; female,Lose weight; Endurance,Home; Gym,Moving quickly from side to side. It targets the legs.,https://www.youtube.com/watch?v=y-yPka1hGws,Easy,3,10,3,60,Main
98,dumbbell snatch,leg; forearm,male; female,Lose weight; Endurance,Home; Gym,"Lifting a dumbbell from the floor to overhead. It targets the legs, forearms, and back.",https://www.youtube.com/watch?v=xA_DpewzL7c,Difficulty,3,10,3,60,Main
99,dumbbell thrusters,leg; ABS; forearm; shoulder,male; female,Lose weight; Endurance,Home; Gym,"A squat followed by an overhead press. It works the legs, abs, forearms, shoulders, and back.",https://www.youtube.com/watch?v=-rHJkjHUbmo,Medium,3,12,3,60,Main
100,dumbbell shoulder press, shoulder,male; female,Muscle gain,Gym; Home,"To perform this exercise, sit on a chair with your back straight and hold a dumbbell in each hand at shoulder level, with your elbows bent at 90 degrees. Exhale as you push the dumbbells upward until your arms are fully extended. Hold for a moment, then inhale and lower the dumbbells back to shoulder level. Repeat the steps for the desired number of repetitions.",https://www.youtube.com/shorts/E9ShwbwZ1zw,Medium,3,12,3,60,Main
